"SSTRTMT","DTRTMT","Site","Zone","N","DDFLWF","sd","se","ci"
"C","HD","D","1",18,13.1111111111111,8.9632510441829,2.11265853160638,4.45731988062559
"C","HD","D","2",16,18.0625,9.92954346046853,2.48238586511713,5.29108022410792
"C","HD","M","1",18,33.7222222222222,18.1425906300959,4.2762496209441,9.02209806497167
"C","HD","M","2",16,28.875,15.3574086355739,3.83935215889348,8.18338541431744
"C","LD","D","1",7,22.5714285714286,8.50210058078086,3.21349196548628,7.86313157390753
"C","LD","D","2",10,16.7,9.00678756395543,2.84819631033786,6.44306768448622
"C","LD","M","1",11,26.2727272727273,11.9673799061525,3.60830080657694,8.03979521678749
"C","LD","M","2",9,23.1111111111111,12.0358261499205,4.01194204997351,9.2515549574384
"SS","HD","D","1",11,26.6363636363636,23.796103577152,7.17479518525883,15.9864399073192
"SS","HD","D","2",7,14,5.32290647422377,2.01186954040739,4.92286742138043
"SS","HD","M","1",12,22.5,12.3766642590731,3.57283522082275,7.8637573004836
"SS","HD","M","2",9,18,10.4043260233424,3.46810867444747,7.9974729446133
"SS","LD","D","1",7,15.7142857142857,7.73981665834288,2.9253757244586,7.15813652922956
"SS","LD","D","2",8,24.625,23.0089268390708,8.13488409786607,19.2359442217106
"SS","LD","M","1",9,35.3333333333333,24.4438131231606,8.14793770772021,18.7891780473888
"SS","LD","M","2",10,32,16.9771087709958,5.36863318007686,12.144692002747
